# wifi_truth_trace version=2 packets=10923 capturedEvents=32768 overwritten=25915 localSenderId=145723705 kernelRxTs=enabled txKernelTs=enabled gameplayStartNs=299640479491166 gameplayThresholdPps=20
# sender_id,seq,dir,ipver,flow_hash,flags,len,sport,dport,rel_ms,sender_delta_us,tx_tun_to_classify_us,tx_classify_to_send_us,tx_user_to_sched_us,tx_user_to_soft_us,tx_sched_to_soft_us,rx_kernel_delta_us,rx_kernel_to_user_us,rx_user_to_enqueue_us,rx_enqueue_to_write_us,rx_user_to_tun_write_us,tun_read_ns,classified_ns,send_call_ns,sender_t0_ns,sender_s1_ns,sender_send_attempt_ns,rx_kernel_rt_ns,rx_user_ns,enqueue_ns,tun_write_ns,status
# liveSnapshot=true snapshotSkipped=0 diagnosticWritesSkipped=25189 (diagnostic omissions are not packet drops)
145723705,8569,out,4,b36dfa78,stun|tunnel|stableKnown,100,48584,3620,0.000,-1,-1,206,-1,-1,-1,-1,-1,-1,-1,-1,0,299640479284397,299640479491166,299640479238166,299640479284397,299640479491166,0,0,0,0,send_only
145723705,8570,out,4,b36dfa78,stun|peerFab|tunnel|stableKnown,103,48584,3620,36.725,36724,43,103,118,-1,-1,-1,-1,-1,-1,-1,299640516069320,299640516112320,299640516216013,299640516069320,299640516112320,299640516216013,0,0,0,0,sent_no_rx
145723705,8571,out,4,b36dfa78,stun|peerFab|tunnel|stableKnown,103,48584,3620,74.485,37760,46,96,-1,-1,-1,-1,-1,-1,-1,-1,299640553832628,299640553879474,299640553976320,299640553832628,299640553879474,299640553976320,0,0,0,0,sent_no_rx
145723705,8572,out,4,b36dfa78,stun|peerFab|tunnel|stableKnown,103,48584,3620,110.297,35812,49,190,-1,-1,-1,-1,-1,-1,-1,-1,299640589548936,299640589598167,299640589788628,299640589548936,299640589598167,299640589788628,0,0,0,0,sent_no_rx
145723705,8573,out,4,b36dfa78,stun|peerFab|tunnel|stableKnown,117,48584,3620,149.092,38794,38,1010,-1,-1,-1,-1,-1,-1,-1,-1,299640627533936,299640627572013,299640628582859,299640627533936,299640627572013,299640628582859,0,0,0,0,sent_no_rx
145723705,8574,out,4,b36dfa78,stun|peerFab|tunnel|stableKnown,103,48584,3620,187.499,38407,77,117,161,-1,-1,-1,-1,-1,-1,-1,299640666794859,299640666872013,299640666989936,299640666794859,299640666872013,299640666989936,0,0,0,0,sent_no_rx
145723705,8575,out,4,b36dfa78,stun|peerFab|tunnel|stableKnown,92,48584,3620,207.096,19597,38,157,-1,-1,-1,-1,-1,-1,-1,-1,299640686392013,299640686430167,299640686587397,299640686392013,299640686430167,299640686587397,0,0,0,0,sent_no_rx
1168018270,71,in,4,5251fed8,stun|tunnel|fromPeer|inject|stableKnown,92,3620,48584,210.703,-1,-1,-1,-1,-1,-1,-1,482,46,4495,4541,0,0,0,103012418482139,103012418521446,103012418626754,1788761313655708215,299640690193859,299640690240320,299640694735782,rx_written
145723705,8576,out,4,b36dfa78,stun|peerFab|tunnel|stableKnown,103,48584,3620,228.591,21494,41,5987,100,-1,-1,-1,-1,-1,-1,-1,299640702053551,299640702095090,299640708082167,299640702053551,299640702095090,299640708082167,0,0,0,0,sent_no_rx
145723705,8577,out,4,b36dfa78,stun|peerFab|tunnel|stableKnown,103,48584,3620,259.054,30462,23,79,125,-1,-1,-1,-1,-1,-1,-1,299640738441936,299640738465859,299640738545013,299640738441936,299640738465859,299640738545013,0,0,0,0,sent_no_rx
145723705,8578,out,4,b36dfa78,stun|peerFab|tunnel|stableKnown,103,48584,3620,296.152,37098,35,88,113,-1,-1,-1,-1,-1,-1,-1,299640775519090,299640775554474,299640775643167,299640775519090,299640775554474,299640775643167,0,0,0,0,sent_no_rx
145723705,8579,out,4,b36dfa78,stun|peerFab|tunnel|stableKnown,120,48584,3620,333.517,37365,39,93,185,-1,-1,-1,-1,-1,-1,-1,299640812875397,299640812915090,299640813008320,299640812875397,299640812915090,299640813008320,0,0,0,0,sent_no_rx
145723705,8580,out,4,b36dfa78,stun|peerFab|tunnel|stableKnown,103,48584,3620,370.885,37367,54,129,-1,-1,-1,-1,-1,-1,-1,-1,299640850192090,299640850246859,299640850376013,299640850192090,299640850246859,299640850376013,0,0,0,0,sent_no_rx
145723705,8581,out,4,b36dfa78,stun|peerFab|tunnel|stableKnown,108,48584,3620,406.930,36045,33,188,124,-1,-1,-1,-1,-1,-1,-1,299640886198782,299640886232397,299640886421320,299640886198782,299640886232397,299640886421320,0,0,0,0,sent_no_rx
145723705,8582,out,4,b36dfa78,stun|peerFab|tunnel|stableKnown,103,48584,3620,443.362,36431,56,66,-1,-1,-1,-1,-1,-1,-1,-1,299640922729859,299640922785859,299640922852705,299640922729859,299640922785859,299640922852705,0,0,0,0,sent_no_rx
145723705,8583,out,4,b36dfa78,stun|peerFab|tunnel|stableKnown,103,48584,3620,480.708,37346,48,84,-1,-1,-1,-1,-1,-1,-1,-1,299640960065243,299640960114167,299640960199090,299640960065243,299640960114167,299640960199090,0,0,0,0,sent_no_rx
145723705,8584,out,4,b36dfa78,stun|peerFab|tunnel|stableKnown,103,48584,3620,517.946,37237,38,74,-1,-1,-1,-1,-1,-1,-1,-1,299640997324397,299640997362474,299640997437013,299640997324397,299640997362474,299640997437013,0,0,0,0,sent_no_rx
145723705,8585,out,4,b36dfa78,stun|peerFab|tunnel|stableKnown,103,48584,3620,555.974,38028,35,157,168,-1,-1,-1,-1,-1,-1,-1,299641035272936,299641035308397,299641035465551,299641035272936,299641035308397,299641035465551,0,0,0,0,sent_no_rx
145723705,8586,out,4,b36dfa78,stun|peerFab|tunnel|stableKnown,103,48584,3620,594.937,38963,48,109,166,-1,-1,-1,-1,-1,-1,-1,299641074270859,299641074319167,299641074428628,299641074270859,299641074319167,299641074428628,0,0,0,0,sent_no_rx
145723705,8587,out,4,b36dfa78,stun|peerFab|tunnel|stableKnown,100,48584,3620,631.114,36176,37,101,-1,-1,-1,-1,-1,-1,-1,-1,299641110466551,299641110504320,299641110605320,299641110466551,299641110504320,299641110605320,0,0,0,0,sent_no_rx
145723705,8588,out,4,b36dfa78,stun|peerFab|tunnel|stableKnown,117,48584,3620,666.590,35475,37,514,136,-1,-1,-1,-1,-1,-1,-1,299641145529243,299641145566859,299641146081013,299641145529243,299641145566859,299641146081013,0,0,0,0,sent_no_rx
145723705,8589,out,4,b36dfa78,stun|peerFab|tunnel|stableKnown,103,48584,3620,705.487,38896,42,107,113,-1,-1,-1,-1,-1,-1,-1,299641184828320,299641184870782,299641184977859,299641184828320,299641184870782,299641184977859,0,0,0,0,sent_no_rx
145723705,8590,out,4,b36dfa78,stun|peerFab|tunnel|stableKnown,100,48584,3620,742.204,36717,69,1992,-1,-1,-1,-1,-1,-1,-1,-1,299641219633936,299641219703090,299641221695167,299641219633936,299641219703090,299641221695167,0,0,0,0,sent_no_rx
145723705,8591,out,4,b36dfa78,stun|peerFab|tunnel|stableKnown,100,48584,3620,777.841,35637,37,247,-1,-1,-1,-1,-1,-1,-1,-1,299641257047397,299641257084936,299641257332397,299641257047397,299641257084936,299641257332397,0,0,0,0,sent_no_rx
145723705,8592,out,4,b36dfa78,stun|peerFab|tunnel|stableKnown,100,48584,3620,813.943,36101,41,207,-1,-1,-1,-1,-1,-1,-1,-1,299641293185243,299641293226551,299641293434243,299641293185243,299641293226551,299641293434243,0,0,0,0,sent_no_rx
145723705,8593,out,4,b36dfa78,stun|peerFab|tunnel|stableKnown,103,48584,3620,852.659,38715,156,268,-1,-1,-1,-1,-1,-1,-1,-1,299641331724628,299641331881320,299641332149936,299641331724628,299641331881320,299641332149936,0,0,0,0,sent_no_rx
145723705,8594,out,4,b36dfa78,stun|peerFab|tunnel|stableKnown,103,48584,3620,888.165,35505,34,178,121,-1,-1,-1,-1,-1,-1,-1,299641367442167,299641367477013,299641367655705,299641367442167,299641367477013,299641367655705,0,0,0,0,sent_no_rx
145723705,8595,out,4,b36dfa78,stun|peerFab|tunnel|stableKnown,108,48584,3620,925.169,37004,39,102,-1,-1,-1,-1,-1,-1,-1,-1,299641404518243,299641404557551,299641404660320,299641404518243,299641404557551,299641404660320,0,0,0,0,sent_no_rx
145723705,8596,out,4,b36dfa78,stun|peerFab|tunnel|stableKnown,100,48584,3620,963.070,37900,34,100,-1,-1,-1,-1,-1,-1,-1,-1,299641442425859,299641442460320,299641442561013,299641442425859,299641442460320,299641442561013,0,0,0,0,sent_no_rx
145723705,8597,out,4,b36dfa78,stun|peerFab|tunnel|stableKnown,103,48584,3620,1002.298,39227,52,120,192,-1,-1,-1,-1,-1,-1,-1,299641481615705,299641481668320,299641481788705,299641481615705,299641481668320,299641481788705,0,0,0,0,sent_no_rx
145723705,8598,out,4,b36dfa78,stun|peerFab|tunnel|stableKnown,100,48584,3620,1038.605,36307,83,103,257,-1,-1,-1,-1,-1,-1,-1,299641517909859,299641517993013,299641518096628,299641517909859,299641517993013,299641518096628,0,0,0,0,sent_no_rx
145723705,8599,out,4,b36dfa78,stun|peerFab|tunnel|stableKnown,100,48584,3620,1074.635,36029,31,63,96,-1,-1,-1,-1,-1,-1,-1,299641554031090,299641554062782,299641554126474,299641554031090,299641554062782,299641554126474,0,0,0,0,sent_no_rx
145723705,8600,out,4,b36dfa78,stun|peerFab|tunnel|stableKnown,100,48584,3620,1111.022,36386,45,104,-1,-1,-1,-1,-1,-1,-1,-1,299641590363397,299641590409243,299641590513320,299641590363397,299641590409243,299641590513320,0,0,0,0,sent_no_rx
145723705,8601,out,4,b36dfa78,stun|peerFab|tunnel|stableKnown,100,48584,3620,1147.450,36428,35,102,122,-1,-1,-1,-1,-1,-1,-1,299641626803167,299641626838859,299641626941628,299641626803167,299641626838859,299641626941628,0,0,0,0,sent_no_rx
145723705,8602,out,4,b36dfa78,stun|peerFab|tunnel|stableKnown,117,48584,3620,1184.947,37496,34,96,126,-1,-1,-1,-1,-1,-1,-1,299641664307782,299641664342551,299641664438551,299641664307782,299641664342551,299641664438551,0,0,0,0,sent_no_rx
145723705,8603,out,4,b36dfa78,stun|peerFab|tunnel|stableKnown,100,48584,3620,1221.090,36142,36,70,115,-1,-1,-1,-1,-1,-1,-1,299641700473936,299641700510859,299641700581013,299641700473936,299641700510859,299641700581013,0,0,0,0,sent_no_rx
145723705,8604,out,4,b36dfa78,stun|peerFab|tunnel|stableKnown,103,48584,3620,1259.782,38692,42,303,-1,-1,-1,-1,-1,-1,-1,-1,299641738927397,299641738969628,299641739273013,299641738927397,299641738969628,299641739273013,0,0,0,0,sent_no_rx
