# wifi_truth_trace version=2 packets=10923 capturedEvents=32768 overwritten=73012 localSenderId=1515960697 kernelRxTs=enabled txKernelTs=enabled gameplayStartNs=332701354248676 gameplayThresholdPps=20
# sender_id,seq,dir,ipver,flow_hash,flags,len,sport,dport,rel_ms,sender_delta_us,tx_tun_to_classify_us,tx_classify_to_send_us,tx_user_to_sched_us,tx_user_to_soft_us,tx_sched_to_soft_us,rx_kernel_delta_us,rx_kernel_to_user_us,rx_user_to_enqueue_us,rx_enqueue_to_write_us,rx_user_to_tun_write_us,tun_read_ns,classified_ns,send_call_ns,sender_t0_ns,sender_s1_ns,sender_send_attempt_ns,rx_kernel_rt_ns,rx_user_ns,enqueue_ns,tun_write_ns,status
# liveSnapshot=true snapshotSkipped=0 diagnosticWritesSkipped=20855 (diagnostic omissions are not packet drops)
1515960697,12218,out,4,1706a003,stun|tunnel|stableKnown,117,31898,46745,0.000,-1,-1,57,-1,-1,-1,-1,-1,-1,-1,-1,0,332701354190753,332701354248676,332701354160368,332701354190753,332701354248676,0,0,0,0,send_only
664677906,12121,in,4,9c4f900b,stun|tunnel|fromPeer|inject|stableKnown,130,46745,31898,9.135,-1,-1,-1,-1,-1,-1,-1,165,48,245,293,0,0,0,43159417723033,43159417748033,43159417811648,1789854274486859848,332701363383753,332701363432291,332701363677599,rx_written
1515960697,12219,out,4,1706a003,stun|peerFab|tunnel|stableKnown,110,31898,46745,50.114,50114,33,13953,132,-1,-1,-1,-1,-1,-1,-1,332701390376291,332701390409599,332701404362753,332701390376291,332701390409599,332701404362753,0,0,0,0,sent_no_rx
664677906,12122,in,4,9c4f900b,stun|tunnel|fromPeer|inject|stableKnown,131,46745,31898,53.782,39638,-1,-1,-1,-1,-1,43756,1055,44,228,273,0,0,0,43159457000264,43159457036956,43159457449802,1789854274530616463,332701408030753,332701408075445,332701408304291,rx_written
1515960697,12220,out,4,1706a003,stun|peerFab|tunnel|stableKnown,110,31898,46745,74.653,24538,35,74,124,-1,-1,-1,-1,-1,-1,-1,332701428791753,332701428827061,332701428901599,332701428791753,332701428827061,332701428901599,0,0,0,0,sent_no_rx
664677906,12123,in,4,9c4f900b,stun|tunnel|fromPeer|inject|stableKnown,108,46745,31898,110.170,55928,-1,-1,-1,-1,-1,57075,368,51,276,328,0,0,0,43159513282725,43159513310494,43159513377879,1789854274587691463,332701464418753,332701464470522,332701464747061,rx_written
1515960697,12221,out,4,1706a003,stun|peerFab|tunnel|stableKnown,100,31898,46745,112.511,37857,35,91,104,-1,-1,-1,-1,-1,-1,-1,332701466632676,332701466667676,332701466759445,332701466632676,332701466667676,332701466759445,0,0,0,0,sent_no_rx
664677906,12124,in,4,9c4f900b,stun|tunnel|fromPeer|inject|stableKnown,103,46745,31898,126.707,21082,-1,-1,-1,-1,-1,16805,100,20,161,181,0,0,0,43159534335956,43159534369571,43159534460571,1789854274604497079,332701480955445,332701480975676,332701481136907,rx_written
1515960697,12222,out,4,1706a003,stun|peerFab|tunnel|stableKnown,100,31898,46745,149.196,36685,35,68,-1,-1,-1,-1,-1,-1,-1,-1,332701503340676,332701503376291,332701503444599,332701503340676,332701503376291,332701503444599,0,0,0,0,sent_no_rx
664677906,12125,in,4,9c4f900b,stun|tunnel|fromPeer|inject|stableKnown,103,46745,31898,177.646,51281,-1,-1,-1,-1,-1,50901,137,43,224,268,0,0,0,43159583424879,43159583451725,43159585741879,1789854274655398540,332701531894522,332701531938138,332701532162830,rx_written
